actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
219177,654.0134,2311330,0.9977629,0.96728516,0.11622573,-6.654299,369090,4132740,35371,40656.09261751175,-2039.0101,-0.09605375,2.5997345,92.04904702042575
219267,625.9481,2312230,0.9977915,0.9711914,0.10455066,-3.3237457,369228,4134120,35386,40666.55912780762,-1969.1111,-0.0855717,1.978107,91.00929196054028
219369,636.2908,2313250,0.99775004,0.9663696,0.10576081,-4.6100254,369398,4135820,35401,40677.04730582237,-2011.6232,-0.0941678,2.0018725,90.40255006592385
219459,624.13116,2314150,0.9977722,0.9725952,0.09690021,-5.453205,369541,4137250,35416,40687.51954436302,-1954.3752,-0.08749389,1.2586019,91.74987584299446
219564,639.7527,2315200,0.997808,0.9727173,0.09792769,-2.687464,369709,4138930,35431,40698.01911902428,-2031.749,-0.07213564,1.3862255,93.77631643300211
219652,626.5894,2316080,0.997843,0.97875977,0.08683283,-5.676671,369850,4140340,35446,40708.552345991135,-1958.666,-0.069254294,1.5640455,89.3676694232485
219754,662.11896,2317100,0.99776006,0.9711304,0.10762382,-3.140126,370022,4142060,35461,40719.05735087395,-2039.7106,-0.09286777,2.0307112,89.59140036158905
219843,627.72656,2317990,0.9978106,0.9708252,0.09896531,-4.842314,370162,4143460,35476,40729.515162944794,-1965.0417,-0.07150608,1.6537169,90.66428349719313
219945,638.1026,2319010,0.9978044,0.9738159,0.09573266,-6.6461926,370332,4145160,35491,40739.98837685585,-2038.8318,-0.08050436,1.9229333,90.03290798067835
220035,637.9824,2319910,0.9977987,0.97216797,0.102442615,-3.9032123,370469,4146530,35506,40750.435935258865,-2042.5432,-0.08532049,2.1322088,91.95155300183536
220136,631.24133,2320920,0.99779487,0.97442627,0.09684633,-6.6426754,370640,4148240,35521,40760.93459701538,-1991.0908,-0.08686498,2.254568,91.01336505948484
220228,618.50146,2321840,0.99777055,0.97106934,0.10099107,-8.726844,370783,4149670,35536,40771.40159249306,-1956.7385,-0.09076048,2.012034,92.01985912948507
207884,550.3776,2198400,0.99787474,0.9812012,0.06958831,-16.629232,345742,3899260,33607,40854.12229704857,-1466.4738,-0.05623806,1.3786623,76.37982848676661
