actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
546,81900,0.26935825,0.15099296,0.13500345,0.12804104,150,0.0,0.3938068,0.53907317,0.550544,0.55450016,0.66316503,0.69006616,0.6855474,0.68254125,0.3560549,0.3442222,0.3427662,0.35184935,15.428250799808911,0.0,0.0
554,83100,0.22430763,0.14881214,0.128844,0.12810154,150,0.0,0.4501243,0.5316795,0.55616945,0.55436486,0.6744319,0.6804917,0.68501353,0.68246645,0.3330626,0.34554344,0.34314686,0.35175687,16.15455981591453,0.0,0.0
562,84300,0.2345322,0.17117396,0.12767737,0.12901813,150,0.0,0.45615527,0.51304543,0.5565947,0.5535246,0.6906875,0.6842193,0.684272,0.6825426,0.35563627,0.3565861,0.3426515,0.35184857,17.016880381948937,0.0,0.0
570,85500,-0.06342906,0.17642638,0.12705743,0.12955946,150,0.0,0.71990275,0.5050339,0.55738115,0.552984,0.6564737,0.68146026,0.6844385,0.68254346,0.31754383,0.35255367,0.34403297,0.3518533,14.857004435265408,0.0,0.0
578,86700,-0.09548384,0.041475095,0.11649564,0.12816791,150,0.0,0.749382,0.6334683,0.56774896,0.5542813,0.6538982,0.6749434,0.68424463,0.6824492,0.33151045,0.34484518,0.34491807,0.3517322,15.451702990231823,0.0,0.0
586,87900,0.28427723,0.026074797,0.113459714,0.12702043,150,0.0,0.4138812,0.65305,0.5706613,0.5553603,0.69815844,0.6791248,0.68412095,0.68238074,0.36994016,0.35326776,0.34620044,0.35167438,16.149856934857134,0.0,0.0
594,89100,0.12924355,0.19424412,0.1230526,0.12828359,150,0.0,0.5731903,0.48470134,0.5604862,0.5540247,0.7024338,0.6789454,0.68353873,0.68230826,0.39336094,0.3397208,0.34564918,0.35146412,16.664198958286264,0.0,0.0
602,90300,0.24189311,0.2146481,0.135717,0.12932041,150,0.0,0.45592344,0.4681266,0.547977,0.5530303,0.69781655,0.6827747,0.683694,0.68235064,0.36965078,0.34561944,0.34630683,0.35145593,16.561838782093115,0.0,0.0
610,91500,0.292238,0.23045978,0.1499262,0.13049875,150,0.0,0.38580972,0.45479292,0.533683,0.55184937,0.6780477,0.6852527,0.6836092,0.68234813,0.32997358,0.3434831,0.34591413,0.35125872,15.24898286282526,0.0,0.0
618,92700,0.301094,0.270139,0.16434766,0.13226075,150,0.0,0.3866527,0.41072768,0.5184653,0.55007905,0.6877467,0.68086666,0.68281287,0.6823398,0.3236418,0.32690248,0.34350652,0.35095733,14.843136336181093,0.0,0.0
